SITE,CORE,SP,DBH,5YI,10YI,BHAGE
HR1,4,PISI,129.3,1.2,2.2,113
HR1,3,PISI,74,1.4,3,104
HR1,1,PISI,71,0.4,1.2,101
HR1,2,PISI,71.5,1.4,3.8,81
HR10,4,PISI,117.1,0.8,1.6,114
HR10,1,PISI,105.4,2,3.6,87
HR10,2,ALRU,37.8,1.2,2.3,66
HR10,3,ALRU,46.7,0.3,0.7,64
HR11,3,PSME,116,1.1,2.4,117
HR11,2,PSME,95,0.5,1.3,114
HR11,1,PSME,110.8,0.8,1.9,100
HR12,2,PSME,125.5,0.6,1.2,142
HR12,4,ALRU,69.6,0.05,0.1,125
HR12,3,ALRU,62.5,0.2,0.3,116
HR12,1,PISI,151.6,2,5.4,94
HR2,3,ALRU,73.3,0.2,0.4,121
HR2,1,PISI,52.8,2.7,5.8,104
HR2,2,PISI,62,2.3,4.9,100
HR2,4,PISI,79.2,3.7,7.2,88
HR3,5,ALRU,29,1.2,3.1,45
HR3,2,ALRU,41.9,1.8,4.5,30
HR3,3,ALRU,36.6,1.2,2.1,29
HR4,1,PSME,146.1,0.85,2.1,147
HR4,2,ALRU,67.8,0.3,0.8,112
HR4,3,ALRU,64.8,1.5,3.5,55
HR4,4,ALRU,32,3.1,6.6,26
HR4,5,ALRU,26.9,1.8,3.5,26
HR5,3,PISI,222.6,0.05,0.4,428
HR5,2,PISI,177.5,0.9,2,154
HR5,1,PISI,173.5,1.7,4,142
HR5,4,PISI,68.9,0.4,0.9,127
HR6,2,PISI,175.3,3.3,5.9,114
HR6,4,ALRU,31.5,0.2,0.7,64
HR6,1,PISI,119.9,4.1,7.7,60
HR6,3,ALRU,30.7,1.5,3.9,30
HR7,3,ALRU,55.6,0.2,0.5,139
HR7,2,PISI,124,3.7,7.1,110
HR7,1,ALRU,29.5,2.4,5.5,24
HR7,4,ALRU,31.5,0.6,2.4,23
HR8,6,PISI,225,1.3,2.5,405
HR8,2,ALRU,64.2,0.3,0.6,118
HR8,5,PISI,61.1,0.8,1.9,100
HR8,1,ALRU,27.7,1,2.2,31
HR8,4,ALRU,28.2,1.7,2.9,30
HR8,3,ALRU,35.8,2,5.5,25
HR9,1,PISI,130,1.2,2.3,126
HR9,2,PISI,63,0.5,1.9,115
HR9,4,PISI,73.8,2.6,4.7,91
HR9,3,PISI,108.5,3.8,8.2,85
LR1,4,ALRU,60,0.15,0.4,121
LR1,3,ALRU,55,0.1,0.3,114
LR1,2,PSME,65,1.6,3.7,104
LR1,1,PSME,97.5,1.4,2.7,77
LR10,2,TSHE,79.2,0.7,1.3,115
LR10,3,PISI,85.9,1.9,3.2,104
LR10,1,PISI,120,1.5,3.2,84
LR11,7,TSHE,35,1.1,1.8,53
LR11,1,ALRU,27.7,2.8,6.4,29
LR11,4,ALRU,28.7,0.4,4.9,26
LR11,5,ALRU,23.5,1.3,2.4,24
LR11,2,ALRU,25.3,2,5.7,19
LR11,3,ALRU,19.7,2.5,5.4,17
LR12,2,PSME,104,0.3,0.9,117
LR12,1,PSME,50.3,0.2,0.5,115
LR12,3,ALRU,36.8,0.3,0.7,86
LR2,1,PISI,170.1,1.1,2.6,129
LR2,2,PISI,58.7,1.7,3.9,112
LR2,3,PISI,88.8,1.4,4.4,103
LR3,1,PISI,135.9,1.8,3.6,137
LR3,2,PISI,154,1.2,3.1,134
LR3,3,ALRU,44.8,0.2,0.3,81
LR4,2,PSME,110.1,0.4,0.8,322
LR4,1,PSME,172.5,0.6,1,300
LR4,3,TSHE,105.2,0.2,0.5,258
LR5,4,ALRU,31.5,0.4,0.8,108
LR5,2,PSME,71.7,0.1,0.2,108
LR5,3,ALRU,52,0.2,0.2,107
LR5,5,ALRU,48.5,0.5,0.7,105
LR5,1,ALRU,65.5,0.9,1.8,101
LR6,4,ALRU,62.7,0.3,0.8,105
LR6,5,ALRU,49.5,0.3,0.7,104
LR6,3,ALRU,34,0.1,0.4,96
LR6,6,PSME,102.5,2.4,5.9,88
LR6,2,PSME,87.9,1.6,3.4,85
LR6,1,PSME,94.7,1.8,3.8,76
LR7,3,ALRU,39.5,0.2,0.4,98
LR7,6,ALRU,30,0.6,1.1,96
